gene_name,go_domain,go_annotation
YML077W,Biological process,transport
YER068W,Biological process,protein
YER068W,Biological process,ion
YER068W,Biological process,catabolic process
YER068W,Biological process,positive
YER068W,Biological process,regulation
YER013W,Biological process,ion
YMR092C,Biological process,ion
YMR092C,Biological process,negative
YMR092C,Biological process,regulation
YJL008C,Biological process,protein
YGL067W,Biological process,metabolic process
YPR073C,Biological process,protein
YPR073C,Biological process,ion
YHL039W,Biological process,ion
YDL136W,Biological process,ion
YGR270W,Biological process,negative
YGR270W,Biological process,regulation
YGR270W,Biological process,ion
YGR270W,Biological process,positive
YHR177W,Biological process,positive
YHR177W,Biological process,regulation
YHR177W,Biological process,ion
YOR332W,Biological process,ion
YDR046C,Biological process,transport
YDL245C,Biological process,transport
YDR316W,Biological process,biological_process
YNL107W,Biological process,repair
YNL107W,Biological process,histone
YDL210W,Biological process,transport
YDR479C,Biological process,ion
YKL096W,Biological process,ion
YDR238C,Biological process,transport
YNL069C,Biological process,ion
YGL191W,Biological process,ion
YFL041W,Biological process,transport
YFL041W,Biological process,ion
YJL168C,Biological process,ion
YJL168C,Biological process,regulation
YJL168C,Biological process,histone
YJL168C,Biological process,positive
YJL168C,Biological process,negative
YDR145W,Biological process,ion
YDR145W,Biological process,histone
YDR330W,Biological process,protein
YDR330W,Biological process,catabolic process
YNL325C,Biological process,ion
YPL020C,Biological process,ion
YPL020C,Biological process,protein
YKL130C,Biological process,ion
YOR346W,Biological process,ion
YAR031W,Biological process,biological_process
YGL233W,Biological process,transport
YGR113W,Biological process,positive
YGR113W,Biological process,regulation
YGR113W,Biological process,ion
YLR319C,Biological process,ion
YLR319C,Biological process,regulation
YLR319C,Biological process,protein
YLR319C,Biological process,positive
YMR235C,Biological process,protein
YBR278W,Biological process,ion
YDR295C,Biological process,negative
YDR295C,Biological process,regulation
YDR295C,Biological process,ion
YDR295C,Biological process,histone
YJR159W,Biological process,metabolic process
YHR134W,Biological process,protein
YHR134W,Biological process,ion
YER041W,Biological process,repair
YBR186W,Biological process,ion
YIL153W,Biological process,ion
YIL153W,Biological process,repair
YIL153W,Biological process,regulation
YJL217W,Biological process,biological_process
YLR399C,Biological process,repair
YLR399C,Biological process,ion
YLR399C,Biological process,negative
YLR399C,Biological process,regulation
YLR399C,Biological process,positive
YLR399C,Biological process,histone
YBR036C,Biological process,ion
YBR179C,Biological process,ion
YPL155C,Biological process,negative
YPL155C,Biological process,regulation
YPL155C,Biological process,ion
YGR142W,Biological process,protein
YGR142W,Biological process,transport
YGR142W,Biological process,regulation
YGR142W,Biological process,ion
YPL100W,Biological process,protein
YPL100W,Biological process,ion
YLR257W,Biological process,biological_process
YDR121W,Biological process,ion
YNL233W,Biological process,protein
YNL233W,Biological process,ion
YPL211W,Biological process,ion
YDL077C,Biological process,ion
YDL077C,Biological process,transport
YDL077C,Biological process,regulation
YDL077C,Biological process,positive
YOR222W,Biological process,transport
YOL061W,Biological process,ion
YLR008C,Biological process,protein
YJL191W,Biological process,ion
YMR219W,Biological process,negative
YMR219W,Biological process,regulation
YMR219W,Biological process,ion
YLR055C,Biological process,negative
YLR055C,Biological process,regulation
YLR055C,Biological process,ion
YLR055C,Biological process,histone
YLR055C,Biological process,positive
YNR076W,Biological process,biological_process
YFR016C,Biological process,biological_process
YHR016C,Biological process,ion
YNL133C,Biological process,repair
YIL095W,Biological process,protein
YIL095W,Biological process,ion
YIL095W,Biological process,regulation
YOR084W,Biological process,ion
YOR084W,Biological process,catabolic process
YNL084C,Biological process,ion
YGR055W,Biological process,transport
YGR055W,Biological process,ion
YOR051C,Biological process,ion
YER174C,Biological process,ion
YER174C,Biological process,positive
YER174C,Biological process,regulation
YER174C,Biological process,histone
YER174C,Biological process,negative
YCL048W,Biological process,ion
YMR142C,Biological process,ion
YDL182W,Biological process,histone
YDL182W,Biological process,repair
YGL121C,Biological process,ion
YOR040W,Biological process,catabolic process
YOR040W,Biological process,ion
YBL067C,Biological process,ion
YLR168C,Biological process,transport
YLR168C,Biological process,metabolic process
YLR168C,Biological process,ion
YLR168C,Biological process,negative
YLR168C,Biological process,regulation
YDL019C,Biological process,transport
YMR273C,Biological process,positive
YMR273C,Biological process,regulation
YMR273C,Biological process,ion
YMR273C,Biological process,protein
YOR123C,Biological process,ion
YOR123C,Biological process,positive
YOR123C,Biological process,regulation
YOR123C,Biological process,histone
YOR123C,Biological process,repair
YGR295C,Biological process,protein
YGR295C,Biological process,catabolic process
YGR295C,Biological process,targeting
YCR002C,Biological process,ion
YMR164C,Biological process,positive
YMR164C,Biological process,regulation
YMR164C,Biological process,catabolic process
YMR164C,Biological process,ion
YMR164C,Biological process,protein
YDR113C,Biological process,ion
YDR113C,Biological process,repair
YDR113C,Biological process,negative
YDR113C,Biological process,regulation
YDR113C,Biological process,protein
YLL031C,Biological process,transport
YLR033W,Biological process,ion
YLL064C,Biological process,biological_process
YBR021W,Biological process,transport
YBR230C,Biological process,protein
YBR230C,Biological process,ion
YBR230C,Biological process,targeting
YMR077C,Biological process,protein
YMR077C,Biological process,catabolic process
YMR077C,Biological process,transport
YMR077C,Biological process,ion
YJR036C,Biological process,protein
YJR036C,Biological process,ion
YNL199C,Biological process,negative
YNL199C,Biological process,regulation
YNL199C,Biological process,ion
YNL199C,Biological process,positive
YNL199C,Biological process,protein
YFL008W,Biological process,ion
YFL008W,Biological process,repair
YDR217C,Biological process,repair
YDR217C,Biological process,ion
YDR217C,Biological process,positive
YDR217C,Biological process,regulation
YNL020C,Biological process,protein
YNL020C,Biological process,ion
YNL020C,Biological process,regulation
YIL123W,Biological process,ion
YMR246W,Biological process,metabolic process
YMR246W,Biological process,transport
YPR161C,Biological process,ion
YPR161C,Biological process,protein
YPR161C,Biological process,positive
YPR161C,Biological process,regulation
YPR161C,Biological process,histone
YOR291W,Biological process,biological_process
YKL117W,Biological process,protein
YKL117W,Biological process,positive
YKL117W,Biological process,regulation
YKL117W,Biological process,ion
YKL117W,Biological process,negative
YMR059W,Biological process,ion
YKR002W,Biological process,ion
YDR279W,Biological process,catabolic process
YDR279W,Biological process,ion
YDL099W,Biological process,transport
YDL099W,Biological process,protein
YDL099W,Biological process,ion
YPL054W,Biological process,biological_process
YPL149W,Biological process,protein
YPL149W,Biological process,ion
YBR165W,Biological process,protein
YBR165W,Biological process,ion
YHR075C,Biological process,ion
YHR075C,Biological process,protein
YFR031C,Biological process,ion
YFR031C,Biological process,negative
YFR031C,Biological process,regulation
YDR068W,Biological process,biological_process
YJR110W,Biological process,ion
YIL149C,Biological process,ion
YIL149C,Biological process,regulation
YIL149C,Biological process,negative
YIL149C,Biological process,protein
YNR015W,Biological process,ion
YLR350W,Biological process,protein
YLR350W,Biological process,negative
YLR350W,Biological process,regulation
YLR350W,Biological process,ion
YBL103C,Biological process,ion
YBL103C,Biological process,positive
YBL103C,Biological process,regulation
YGR163W,Biological process,negative
YGR163W,Biological process,regulation
YGR163W,Biological process,ion
YGR163W,Biological process,positive
YGR163W,Biological process,protein
YKL022C,Biological process,protein
YKL022C,Biological process,ion
YKL022C,Biological process,catabolic process
YKL022C,Biological process,negative
YKL022C,Biological process,regulation
YKL055C,Biological process,metabolic process
YKL055C,Biological process,ion
YDL164C,Biological process,ion
YDL164C,Biological process,repair
YJR050W,Biological process,ion
YOR156C,Biological process,ion
YOR156C,Biological process,protein
YOR156C,Biological process,negative
YOR156C,Biological process,regulation
YNL006W,Biological process,regulation
YNL006W,Biological process,ion
YGL210W,Biological process,transport
YLR376C,Biological process,repair
YLR376C,Biological process,ion
YAL058W,Biological process,protein
YAL058W,Biological process,catabolic process
YFL033C,Biological process,protein
YFL033C,Biological process,ion
YFL033C,Biological process,starvation
YFL033C,Biological process,positive
YFL033C,Biological process,regulation
YJL098W,Biological process,ion
YML108W,Biological process,biological_process
YBL038W,Biological process,ion
YCL010C,Biological process,protein
YCL010C,Biological process,ion
YCL010C,Biological process,histone
YCL010C,Biological process,positive
YCL010C,Biological process,regulation
YGR189C,Biological process,metabolic process
YGR189C,Biological process,ion
YNL278W,Biological process,regulation
YNL278W,Biological process,ion
YKL047W,Biological process,biological_process
YOR363C,Biological process,positive
YOR363C,Biological process,regulation
YOR363C,Biological process,ion
YOR067C,Biological process,protein
YOR067C,Biological process,ion
YGR094W,Biological process,ion
YNR048W,Biological process,ion
YNR048W,Biological process,negative
YNR048W,Biological process,regulation
YNR048W,Biological process,protein
YDR191W,Biological process,histone
YDR191W,Biological process,ion
YDR191W,Biological process,metabolic process
YDR191W,Biological process,starvation
YHR028C,Biological process,protein
YBR265W,Biological process,metabolic process
YBL007C,Biological process,ion
YNR037C,Biological process,ion
YOL113W,Biological process,ion
YOL113W,Biological process,protein
YOL113W,Biological process,negative
YOL113W,Biological process,regulation
YCL024W,Biological process,protein
YCL024W,Biological process,ion
YOL084W,Biological process,biological_process
YAL032C,Biological process,ion
YGL145W,Biological process,ion
YGL145W,Biological process,transport
YNL283C,Biological process,protein
YNL283C,Biological process,ion
YNL252C,Biological process,ion
YDR511W,Biological process,regulation
YDR511W,Biological process,ion
YKL035W,Biological process,metabolic process
YBR068C,Biological process,transport
YDR043C,Biological process,negative
YDR043C,Biological process,regulation
YDR043C,Biological process,ion
YGR076C,Biological process,ion
YEL015W,Biological process,ion
YEL015W,Biological process,positive
YEL015W,Biological process,regulation
YEL015W,Biological process,catabolic process
YGR254W,Biological process,regulation
YGR254W,Biological process,ion
YEL040W,Biological process,metabolic process
YEL040W,Biological process,ion
YPL230W,Biological process,ion
YPL230W,Biological process,regulation
YHR115C,Biological process,ion
YHR115C,Biological process,protein
YHR115C,Biological process,catabolic process
YHR115C,Biological process,regulation
YER124C,Biological process,ion
YER124C,Biological process,regulation
YER153C,Biological process,positive
YER153C,Biological process,regulation
YER153C,Biological process,ion
YPL256C,Biological process,regulation
YPL256C,Biological process,protein
YPL256C,Biological process,ion
YKL201C,Biological process,protein
YKL201C,Biological process,ion
YOL026C,Biological process,protein
YDL069C,Biological process,positive
YDL069C,Biological process,regulation
YDL069C,Biological process,ion
YGL167C,Biological process,transport
YGL167C,Biological process,ion
YER037W,Biological process,catabolic process
YER037W,Biological process,starvation
YER037W,Biological process,ion
YCR092C,Biological process,repair
YCR092C,Biological process,ion
YJL111W,Biological process,protein
YHR021C,Biological process,ion
YNL192W,Biological process,ion
YLR436C,Biological process,biological_process
YJR077C,Biological process,transport
YJR077C,Biological process,ion
YDL112W,Biological process,ion
YBR002C,Biological process,protein
YBR002C,Biological process,ion
YBR002C,Biological process,transport
YKL109W,Biological process,ion
YKL109W,Biological process,regulation
YKL154W,Biological process,protein
YKL154W,Biological process,ion
YKL154W,Biological process,targeting
YLR121C,Biological process,ion
YKR061W,Biological process,protein
YKR061W,Biological process,ion
YLR052W,Biological process,ion
YHR099W,Biological process,repair
YHR099W,Biological process,histone
YHR099W,Biological process,ion
YHR099W,Biological process,positive
YHR099W,Biological process,regulation
YKL132C,Biological process,biological_process
YHR171W,Biological process,protein
YHR171W,Biological process,ion
YDR258C,Biological process,protein
YDR258C,Biological process,ion
YKL094W,Biological process,metabolic process
YNL259C,Biological process,transport
YNL259C,Biological process,copper
YNL259C,Biological process,ion
YDR318W,Biological process,ion
YDR318W,Biological process,protein
YDR318W,Biological process,negative
YDR318W,Biological process,regulation
YMR251W,Biological process,metabolic process
YMR251W,Biological process,ion
YER080W,Biological process,biological_process
YPL179W,Biological process,protein
YPL179W,Biological process,ion
YPL179W,Biological process,negative
YPL179W,Biological process,regulation
YDL247W,Biological process,transport
YJR019C,Biological process,ion
YBL080C,Biological process,ion
YMR136W,Biological process,regulation
YMR136W,Biological process,ion
YDL083C,Biological process,ion
YPL022W,Biological process,repair
YPL022W,Biological process,ion
YOR100C,Biological process,metabolic process
YPL095C,Biological process,catabolic process
YNL327W,Biological process,ion
YPR140W,Biological process,protein
YPR140W,Biological process,membrane organization
YPR140W,Biological process,ion
YPR140W,Biological process,metabolic process
YPR140W,Biological process,transport
YGR048W,Biological process,protein
YGR048W,Biological process,catabolic process
YGR048W,Biological process,transport
YGR048W,Biological process,negative
YGR048W,Biological process,regulation
YGR048W,Biological process,ion
YGR048W,Biological process,positive
YIR001C,Biological process,metabolic process
YBR279W,Biological process,regulation
YBR279W,Biological process,ion
YBR279W,Biological process,negative
YBR279W,Biological process,positive
YBR279W,Biological process,histone
YBR279W,Biological process,repair
YAR033W,Biological process,ion
YOR340C,Biological process,ion
YGR140W,Biological process,ion
YOL158C,Biological process,transport
YOR122C,Biological process,transport
YOR122C,Biological process,positive
YOR122C,Biological process,regulation
YOR122C,Biological process,ion
YBR151W,Biological process,biological_process
YGL231C,Biological process,protein
YHR136C,Biological process,protein
YHR136C,Biological process,targeting
YDR297W,Biological process,metabolic process
YLR186W,Biological process,ion
YIL155C,Biological process,metabolic process
YIL155C,Biological process,ion
YAL013W,Biological process,negative
YAL013W,Biological process,regulation
YAL013W,Biological process,ion
YAL013W,Biological process,histone
YAL013W,Biological process,positive
YDR098C,Biological process,ion
YDR098C,Biological process,positive
YDR098C,Biological process,regulation
YDR098C,Biological process,histone
YDR098C,Biological process,negative
YLR259C,Biological process,protein
YLR259C,Biological process,ion
YPL157W,Biological process,ion
YPL157W,Biological process,regulation
YKL005C,Biological process,negative
YKL005C,Biological process,regulation
YKL005C,Biological process,ion
YDR418W,Biological process,ion
YMR241W,Biological process,transport
YOL067C,Biological process,positive
YOL067C,Biological process,regulation
YOL067C,Biological process,ion
YOR275C,Biological process,ion
YOR275C,Biological process,protein
YDL075W,Biological process,ion
YDL075W,Biological process,regulation
YOL018C,Biological process,metabolic process
YOL018C,Biological process,transport
YOL018C,Biological process,ion
YOL018C,Biological process,protein
YOR220W,Biological process,biological_process
YLL048C,Biological process,transport
YLL048C,Biological process,catabolic process
YNL264C,Biological process,metabolic process
YNL264C,Biological process,transport
YNL264C,Biological process,protein
YNL264C,Biological process,negative
YNL264C,Biological process,regulation
YNL264C,Biological process,ion
YNL264C,Biological process,positive
YIL075C,Biological process,protein
YIL075C,Biological process,catabolic process
YNL335W,Biological process,metabolic process
YLR324W,Biological process,ion
YOL098C,Biological process,biological_process
YNR074C,Biological process,positive
YNR074C,Biological process,regulation
YNR074C,Biological process,ion
YNR074C,Biological process,metabolic process
YHR014W,Biological process,positive
YHR014W,Biological process,regulation
YHR014W,Biological process,ion
YHR014W,Biological process,protein
YIL097W,Biological process,negative
YIL097W,Biological process,regulation
YIL097W,Biological process,ion
YIL097W,Biological process,protein
YIL097W,Biological process,catabolic process
YOL045W,Biological process,protein
YOL045W,Biological process,ion
YOL045W,Biological process,negative
YOL045W,Biological process,regulation
YNL048W,Biological process,protein
YNL048W,Biological process,ion
YNL086W,Biological process,ion
YNL086W,Biological process,regulation
YNL086W,Biological process,protein
YGL064C,Biological process,metabolic process
YER176W,Biological process,regulation
YER176W,Biological process,ion
YPL279C,Biological process,transport
YGL127C,Biological process,repair
YGL127C,Biological process,ion
YKL220C,Biological process,transport
YKL220C,Biological process,ion
YKL220C,Biological process,copper
YLR166C,Biological process,transport
YPL004C,Biological process,negative
YPL004C,Biological process,regulation
YPL004C,Biological process,protein
YPL004C,Biological process,ion
YMR199W,Biological process,regulation
YMR199W,Biological process,protein
YMR199W,Biological process,ion
YER118C,Biological process,ion
YMR162C,Biological process,ion
YMR162C,Biological process,transport
YMR162C,Biological process,protein
YEL009C,Biological process,negative
YEL009C,Biological process,regulation
YEL009C,Biological process,ion
YEL009C,Biological process,protein
YEL009C,Biological process,positive
YEL009C,Biological process,starvation
YKR106W,Biological process,transport
YKR106W,Biological process,ion
YDR498C,Biological process,transport
YDR498C,Biological process,ion
YJR069C,Biological process,catabolic process
YBR299W,Biological process,catabolic process
YKR055W,Biological process,regulation
YKR055W,Biological process,ion
YKR055W,Biological process,positive
YOR003W,Biological process,protein
YOR003W,Biological process,catabolic process
YNL026W,Biological process,protein
YGR206W,Biological process,protein
YGR206W,Biological process,targeting
YGR206W,Biological process,negative
YGR206W,Biological process,regulation
YGR206W,Biological process,ion
YGR206W,Biological process,transport
YGL189C,Biological process,ion
YDR211W,Biological process,regulation
YDR211W,Biological process,ion
YPR167C,Biological process,ion
YJL045W,Biological process,ion
YNL306W,Biological process,ion
YOR297C,Biological process,protein
YHR196W,Biological process,ion
YHR196W,Biological process,positive
YHR196W,Biological process,regulation
YDR277C,Biological process,ion
YDR277C,Biological process,transport
YML092C,Biological process,protein
YML092C,Biological process,catabolic process
YML025C,Biological process,ion
YJR134C,Biological process,biological_process
YBR167C,Biological process,catabolic process
YJL149W,Biological process,protein
YJL149W,Biological process,catabolic process
YNR017W,Biological process,protein
YFR037C,Biological process,repair
YFR037C,Biological process,ion
YDR364C,Biological process,ion
YHR077C,Biological process,catabolic process
YHR077C,Biological process,ion
YIL056W,Biological process,positive
YIL056W,Biological process,regulation
YIL056W,Biological process,ion
YIL056W,Biological process,starvation
YDR461W,Biological process,ion
YNL113W,Biological process,ion
YLR229C,Biological process,ion
YLR229C,Biological process,regulation
YLR229C,Biological process,positive
YJR052W,Biological process,repair
YJR052W,Biological process,ion
YJR052W,Biological process,protein
YJR052W,Biological process,catabolic process
YLR292C,Biological process,protein
YLR292C,Biological process,ion
YLR292C,Biological process,targeting
YKL020C,Biological process,positive
YKL020C,Biological process,regulation
YKL020C,Biological process,ion
YFR019W,Biological process,ion
YGL120C,Biological process,ion
YBR009C,Biological process,histone
YBR009C,Biological process,ion
YDL166C,Biological process,ion
YGL212W,Biological process,ion
YNL008C,Biological process,protein
YNL008C,Biological process,catabolic process
YNL008C,Biological process,ion
YOL111C,Biological process,ion
YOL111C,Biological process,protein
YOL111C,Biological process,targeting
YDR004W,Biological process,ion
YDR004W,Biological process,repair
YMR312W,Biological process,ion
YMR312W,Biological process,regulation
YMR312W,Biological process,protein
YOL144W,Biological process,ion
YPL121C,Biological process,ion
YGL178W,Biological process,negative
YGL178W,Biological process,regulation
YGL178W,Biological process,ion
YGL178W,Biological process,positive
YGL178W,Biological process,catabolic process
YGR121C,Biological process,transport
YGR121C,Biological process,ion
YDL134C,Biological process,ion
YDL134C,Biological process,regulation
YDL134C,Biological process,protein
YLR243W,Biological process,ion
YGR096W,Biological process,transport
YIR005W,Biological process,ion
YIL069C,Biological process,ion
YJR083C,Biological process,biological_process
YGL037C,Biological process,negative
YGL037C,Biological process,regulation
YGL037C,Biological process,ion
YNL135C,Biological process,ion
YNL135C,Biological process,protein
YNL135C,Biological process,regulation
YAL030W,Biological process,transport
YAL030W,Biological process,ion
YGL147C,Biological process,ion
YOL086C,Biological process,catabolic process
YOL086C,Biological process,ion
YBL001C,Biological process,biological_process
YNR035C,Biological process,ion
YGL246C,Biological process,ion
YGL246C,Biological process,catabolic process
YDR045C,Biological process,ion
YPL232W,Biological process,ion
YEL017W,Biological process,biological_process
YGR252W,Biological process,ion
YGR252W,Biological process,histone
YGR252W,Biological process,positive
YGR252W,Biological process,regulation
YGR003W,Biological process,protein
YGR003W,Biological process,catabolic process
YGR003W,Biological process,ion
YDR517W,Biological process,transport
YDR517W,Biological process,ion
YDR517W,Biological process,protein
YGL043W,Biological process,ion
YGL043W,Biological process,regulation
YGL043W,Biological process,positive
YOR256C,Biological process,protein
YOR256C,Biological process,catabolic process
YOR256C,Biological process,targeting
YPR011C,Biological process,transport
YHL040C,Biological process,transport
YOR361C,Biological process,ion
YGR029W,Biological process,ion
YGR029W,Biological process,protein
YOR334W,Biological process,transport
YOR334W,Biological process,ion
YER151C,Biological process,protein
YER151C,Biological process,ion
YER151C,Biological process,regulation
YER151C,Biological process,transport
YPL209C,Biological process,protein
YPL209C,Biological process,ion
YPL209C,Biological process,regulation
YPL209C,Biological process,negative
YOR382W,Biological process,transport
YEL039C,Biological process,transport
YKL189W,Biological process,ion
YKL189W,Biological process,regulation
YPL254W,Biological process,ion
YPL254W,Biological process,histone
YLL012W,Biological process,metabolic process
YCR076C,Biological process,biological_process
YLR438W,Biological process,catabolic process
YLR438W,Biological process,metabolic process
YCR094W,Biological process,transport
YCR094W,Biological process,protein
YCR094W,Biological process,ion
YNL190W,Biological process,ion
YDL239C,Biological process,ion
YIR029W,Biological process,catabolic process
YKR049C,Biological process,biological_process
YPR179C,Biological process,negative
YPR179C,Biological process,regulation
YPR179C,Biological process,ion
YPR179C,Biological process,histone
YDL149W,Biological process,protein
YDL149W,Biological process,ion
YPL002C,Biological process,negative
YPL002C,Biological process,regulation
YPL002C,Biological process,ion
YPL002C,Biological process,protein
YPL002C,Biological process,targeting
YPL002C,Biological process,catabolic process
YJR075W,Biological process,protein
YJR075W,Biological process,metabolic process
YPR124W,Biological process,copper
YPR124W,Biological process,ion
YLL029W,Biological process,negative
YLL029W,Biological process,regulation
YLL029W,Biological process,ion
YLR127C,Biological process,ion
YLR127C,Biological process,protein
YLR127C,Biological process,catabolic process
YER017C,Biological process,ion
YER017C,Biological process,protein
YKR063C,Biological process,ion
YDL132W,Biological process,ion
YDL132W,Biological process,protein
YDL132W,Biological process,catabolic process
YGR229C,Biological process,regulation
YGR229C,Biological process,ion
YER082C,Biological process,ion
YMR003W,Biological process,biological_process
YPL177C,Biological process,negative
YPL177C,Biological process,regulation
YPL177C,Biological process,transport
YPL177C,Biological process,ion
YKL092C,Biological process,ion
YLR260W,Biological process,metabolic process
YBL082C,Biological process,protein
YBL082C,Biological process,ion
YDL081C,Biological process,ion
YDL081C,Biological process,positive
YDL081C,Biological process,regulation
YDL081C,Biological process,protein
YMR138W,Biological process,protein
YFL018C,Biological process,metabolic process
YFL018C,Biological process,catabolic process
YJL139C,Biological process,protein
YJL139C,Biological process,ion
YPL097W,Biological process,ion
YLR066W,Biological process,protein
YLR066W,Biological process,targeting
YDR334W,Biological process,histone
YLR375W,Biological process,biological_process
YJL066C,Biological process,biological_process
YOR106W,Biological process,ion
YOR342C,Biological process,biological_process
YDR291W,Biological process,ion
YDR291W,Biological process,repair
YAL015C,Biological process,repair
YAL015C,Biological process,ion
YAL015C,Biological process,positive
YAL015C,Biological process,regulation
YBR240C,Biological process,positive
YBR240C,Biological process,regulation
YBR240C,Biological process,ion
YLR180W,Biological process,metabolic process
YLR180W,Biological process,ion
YJL213W,Biological process,biological_process
YDR416W,Biological process,ion
YGL129C,Biological process,ion
YOL065C,Biological process,ion
YBL022C,Biological process,protein
YBL022C,Biological process,catabolic process
YGL164C,Biological process,biological_process
YOL130W,Biological process,ion
YOL130W,Biological process,histone
YOL130W,Biological process,transport
YDR125C,Biological process,biological_process
YLR004C,Biological process,transport
YPR201W,Biological process,transport
YIL073C,Biological process,positive
YIL073C,Biological process,regulation
YIL073C,Biological process,protein
YIL073C,Biological process,ion
YGR222W,Biological process,positive
YGR222W,Biological process,regulation
YGR222W,Biological process,ion
YNR072W,Biological process,transport
YKL113C,Biological process,repair
YKL113C,Biological process,ion
YHR012W,Biological process,transport
YIL022W,Biological process,protein
YNL248C,Biological process,ion
YDR440W,Biological process,repair
YDR440W,Biological process,ion
YDR440W,Biological process,histone
YML132W,Biological process,ion
YML132W,Biological process,protein
YML132W,Biological process,catabolic process
YML132W,Biological process,targeting
YBR025C,Biological process,biological_process
YKL128C,Biological process,biological_process
YER170W,Biological process,metabolic process
YKL222C,Biological process,biological_process
YMR277W,Biological process,regulation
YMR277W,Biological process,ion
YCR068W,Biological process,protein
YCR068W,Biological process,catabolic process
YGL125W,Biological process,ion
YLR164W,Biological process,transport
YKR104W,Biological process,transport
YER116C,Biological process,protein
YER116C,Biological process,ion
YMR160W,Biological process,biological_process
YCL073C,Biological process,transport
YCL073C,Biological process,ion
YMR197C,Biological process,transport
YMR197C,Biological process,ion
YAR071W,Biological process,metabolic process
YLL060C,Biological process,metabolic process
YLL060C,Biological process,ion
YKL219W,Biological process,protein
YKL219W,Biological process,catabolic process
YKL219W,Biological process,targeting
YJR032W,Biological process,protein
YDR213W,Biological process,positive
YDR213W,Biological process,regulation
YDR213W,Biological process,ion
YDR213W,Biological process,starvation
YNL053W,Biological process,ion
YNL053W,Biological process,protein
YNL053W,Biological process,regulation
YMR055C,Biological process,ion
YMR055C,Biological process,negative
YMR055C,Biological process,regulation
YMR055C,Biological process,protein
YDR066C,Biological process,biological_process
YOR190W,Biological process,ion
YNL304W,Biological process,ion
YPR165W,Biological process,ion
YPR165W,Biological process,regulation
YPR165W,Biological process,protein
YPR165W,Biological process,positive
YJL047C,Biological process,protein
YJL047C,Biological process,catabolic process
YJL047C,Biological process,regulation
YJL047C,Biological process,ion
YJL047C,Biological process,negative
YDR275W,Biological process,biological_process
YEL061C,Biological process,ion
YML027W,Biological process,negative
YML027W,Biological process,regulation
YML027W,Biological process,ion
YHR194W,Biological process,ion
YHR194W,Biological process,regulation
YHR194W,Biological process,metabolic process
YGR288W,Biological process,regulation
YGR288W,Biological process,ion
YGR288W,Biological process,metabolic process
YOR295W,Biological process,ion
YLR102C,Biological process,protein
YLR102C,Biological process,ion
YPR030W,Biological process,regulation
YPR030W,Biological process,ion
YFL037W,Biological process,ion
YJR132W,Biological process,protein
YPL198W,Biological process,ion
YPL058C,Biological process,transport
YNL182C,Biological process,ion
YNL182C,Biological process,regulation
YNR011C,Biological process,ion
YHR071W,Biological process,negative
YHR071W,Biological process,regulation
YHR071W,Biological process,ion
YHR071W,Biological process,protein
YLR309C,Biological process,transport
YLR309C,Biological process,protein
YDR153C,Biological process,transport
YJL170C,Biological process,ion
YKL026C,Biological process,ion
YDR308C,Biological process,negative
YDR308C,Biological process,regulation
YDR308C,Biological process,ion
YDR308C,Biological process,positive
YLR372W,Biological process,catabolic process
YLR372W,Biological process,transport
YLR372W,Biological process,ion
YLR389C,Biological process,ion
YDL168W,Biological process,catabolic process
YDL168W,Biological process,metabolic process
YDL168W,Biological process,ion
YBR234C,Biological process,ion
YBR261C,Biological process,ion
YPR088C,Biological process,protein
YPR088C,Biological process,ion
YPR088C,Biological process,targeting
YBR286W,Biological process,protein
YBR286W,Biological process,catabolic process
YNL287W,Biological process,transport
YOL146W,Biological process,repair
YOL146W,Biological process,ion
YGR123C,Biological process,protein
YGR123C,Biological process,ion
YMR314W,Biological process,protein
YMR314W,Biological process,catabolic process
YPL118W,Biological process,ion
YGR090W,Biological process,ion
YBR029C,Biological process,metabolic process
YKL048C,Biological process,metabolic process
YKL048C,Biological process,protein
YKL048C,Biological process,ion
YKL048C,Biological process,positive
YKL048C,Biological process,regulation
YNL137C,Biological process,ion
YAL036C,Biological process,ion
YAL036C,Biological process,positive
YAL036C,Biological process,regulation
YAL036C,Biological process,starvation
YCL028W,Biological process,biological_process
YDL065C,Biological process,protein
YDL065C,Biological process,ion
YGL244W,Biological process,negative
YGL244W,Biological process,regulation
YGL244W,Biological process,ion
YGL244W,Biological process,positive
YGL244W,Biological process,histone
YGL244W,Biological process,repair
YNL229C,Biological process,regulation
YNL229C,Biological process,ion
YNL229C,Biological process,protein
YGR001C,Biological process,ion
YGR250C,Biological process,biological_process
YDR515W,Biological process,regulation
YDR515W,Biological process,ion
YDR515W,Biological process,copper
YOR254C,Biological process,protein
YOR254C,Biological process,ion
YOR254C,Biological process,targeting
YOR254C,Biological process,transport
YOR201C,Biological process,ion
YHL046C,Biological process,biological_process
YHR119W,Biological process,negative
YHR119W,Biological process,regulation
YHR119W,Biological process,ion
YHR119W,Biological process,positive
YHR119W,Biological process,histone
YHR076W,Biological process,protein
YHR076W,Biological process,ion
YOR094W,Biological process,ion
YOR094W,Biological process,transport
YOR094W,Biological process,protein
YOR094W,Biological process,positive
YOR094W,Biological process,regulation
YER157W,Biological process,transport
YOL022C,Biological process,ion
YEL037C,Biological process,negative
YEL037C,Biological process,regulation
YEL037C,Biological process,ion
YEL037C,Biological process,protein
YEL037C,Biological process,catabolic process
YFL061W,Biological process,metabolic process
YNL196C,Biological process,ion
